otherCatalogNumbers,basisOfRecord,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,associatedSequences
SEA0548,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt,MW818277
SEA0549,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt,MW818266
SEA0550,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Pegusa,lascaris,MW818254
SEA0551,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Pegusa,lascaris,MW818244
SEA0552,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Pegusa,lascaris,NA
SEA0553,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt,NA
SEA0554,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Spondyliosoma,cantharus,NA
SEA0555,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Spondyliosoma,cantharus,NA
SEA0556,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Pegusa,lascaris,NA
SEA0557,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,bailloni,NA
SEA0558,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,bailloni,MW818382
SEA0559,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,bailloni,MW818383
SEA0560,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,tobianus,MW818279
SEA0561,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,NA
SEA0562,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,NA
SEA0563,TissueSample,species,Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,Lophius,piscatorius,MW818221
SEA0564,TissueSample,species,Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,Lophius,piscatorius,MW818300
SEA0565,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Hyperoplus,lanceolatus,MW818289
SEA0566,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Hyperoplus,lanceolatus,MW818278
SEA0567,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,rhombus,NA
SEA0568,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt,MW818384
SEA0569,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt,NA
SEA0570,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Hyperoplus,lanceolatus,MW818268
SEA0571,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,hippocampus,MW818385
SEA0572,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Diplecogaster,bimaculata,MW818256
SEA0573,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Diplecogaster,bimaculata,MW818275
SEA0574,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Diplecogaster,bimaculata,NA
SEA0575,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Diplecogaster,bimaculata,NA
SEA0576,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Diplecogaster,bimaculata,NA
SEA0577,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Diplecogaster,bimaculata,NA
SEA0578,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Diplecogaster,bimaculata,NA
SEA0579,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Diplecogaster,bimaculata,NA
SEA0580,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Diplecogaster,bimaculata,NA
SEA0581,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,Ciliata,septentrionalis,MW818422
SEA0582,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Ctenolabrus,rupestris,MW818267
SEA0583,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Zeugopterus,regius,MW818407
SEA0584,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Zeugopterus,regius,MW818408
SEA0585,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Zeugopterus,regius,NA
SEA0586,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Zeugopterus,regius,NA
SEA0587,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Zeugopterus,regius,MW818426
SEA0588,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,Trachinus,draco,MW818255
SEA0589,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,Trachinus,draco,MW818252
SEA0590,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,Trachinus,draco,NA
SEA0591,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,Trachinus,draco,NA
SEA0592,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,Trachinus,draco,NA
SEA0593,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,limanda,NA
SEA0594,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,limanda,NA
SEA0595,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,scombrus,NA
SEA0596,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,scombrus,NA
SEA0597,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,scombrus,NA
SEA0598,TissueSample,species,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardina,pilchardus,NA
SEA0599,TissueSample,species,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardina,pilchardus,MW818386
SEA0600,TissueSample,species,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardina,pilchardus,NA
SEA0601,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Mullus,surmuletus,NA
SEA0602,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Mullus,surmuletus,MW818387
SEA0603,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Mullus,surmuletus,MW818388
SEA0604,TissueSample,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,cuculus,NA
SEA0605,TissueSample,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,cuculus,NA
SEA0606,TissueSample,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,cuculus,NA
SEA0607,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Lepidorhombus,whiffiagonis,MW818423
SEA0608,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Lepidorhombus,whiffiagonis,MW818389
SEA0609,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Lepidorhombus,whiffiagonis,MW818424
SEA0610,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt,NA
SEA0611,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt,NA
SEA0612,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt,NA
SEA0613,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt,NA
SEA0614,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Apletodon,dentatus,MW818425
FR01,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,marinus,MN539926 | MN539946 | MW818431
FR05,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,marinus,MN539930 | MN539950 | MW818430
FR15,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,marinus,MN539933 | MN539956 | MW818429
FR24,TissueSample,genus,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus,,MN539964
SRX3821516,SRA,species,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Galeorhinus,galeus,SRX3821516
SEA0615,TissueSample,species,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,stellaris,MW818432
MN122846,GenBank,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Agonus,cataphractus,MN122846
